Name of Residence: ,Monthly rent ,Utilities amt ,Monthly fees,One time fee ,Sq ft ,Bedrooms ,Bathrooms ,Washer/dryer ,Floors ,Time to Elm,Time to corewell,Pool + gym,Furnished ,Floor level ,Walk in closet ,Review scores ,renter insurance,bath tub
District Royal Oak Apartments,"$1,590 – $1,635",,,,"1,100",2,1.5,community,all hardwood,,,both,,,yes,3.7,,yes
Charter Square,"$1,520 – $1,620",,,,931,2,1.5,both options,wood + carpet,,,both,,,yes,,,yes
Canterbury Square,"$1,380-1500",,,,880 -950,2,1.5,community,wood + carpet,,,both,,,yes,2.6,,yes
Laurel Valley Apartments ,$1505-$1615,,"$20 for car port, $30 for pets",$300 + $300 pet fee ,997,2,2,in unit,wood + carpet,,,both,,,yes,4.4,,yes
Sterling Troy Apartments ,"$1,180 – $1,540",,,,900,2,2,both options,all hardwood,,,,,,yes,,,
3611 Rochester Rd,"$1,445",,,,950-1000,2,1.5,community,wood + carpet,,,,,,?,,,yes
Eton Sq Apts + Townhomes ,$1300-150,,,,950-1000,2,1.5,hookups?,wood + carpet,,,,,,,,,
Bloomfield Villas,"$1,410 – $1,600",,,,975-1000,2,2,both options,wood + carpet,,,both,,,?yes?,,,
Bloomfield Square Apartments ,"$1,499",,,,1039,2,1.5,community,wood + carpet,,,both,,,yes,3.4,,yes
